 Насос АКС станка 16К40
 Контактное/изоляционное кольцо на муфту У41.84 и щеткодержатели для электромагнитных муфт
 Износостойкие ролики для поверхностного упрочнения металлических изделий
 Конструкция и назначение люнета неподвижного токарно-винторезных станков модели 16К40
 Верхний суппорт в сборе токарно-винторезных станков 1М63,1.0М63Н,ДИП300
 Обработка мостика задней бабки станка 1М63Н на расточном станке,,,,,,,,,,,
 Захваты инструмента фрезерных станков 6Т13,ГФ2171,6.0Т82,6.0Р82,6.0Р82Ш,6Р12 и т.д.,,,,,,
 Втулка (бронза) для станков 1М65 1Н65 ДИП500 165,,,,,,,,,,,,,
 Муфта зубчатая, винт, шестерня задней бабки 1Н65 1М65 165 ДИП500 РТ117 РТ817,,,,,,,,,,,
 Сектора зубчатые коробки реверса станков 1Н983,1.0А983,1.0М983,РТ983,СА983,,,,,,,,,
 Валик зубчатый револьверной головки,,,,,,,,,,,,,
 Блок герконовый для револьверной головки УГ9326,,,,,,,,,,,,,
 Задняя бабка в комплекте с мостиком станка мод. РТ783,РТ783Ф3,,,,,,,,,,,,
 Люнеты для круглошлифовальных станков,,,,,,,,,,,,,
 Изготовление конических шестерен,,,,,,,,,,,,,
 Валы фрикционные (фрикционы) 2М55,,,,,,,,,,,,,
 Проверка винта ШВП на биение после капитального ремонта,,,,,,,,,,,,,
 Пара конических шестерни с круговым зубом зубофрезерных станков Комсомолец,,,,,,,,,,,,,
 Шкив главного привода 16К20.161.011 (чугун),,,,,,,,,,,,,
 Шпиндель станков 2М57,,,,,,,,,,,,,
 Токарно-винторезный станок 16К25 РМЦ 1000мм,,,,,,,,,,,,,
 Токарно-винторезный-(трубообрабатывающий) станок мод. СА564С150Л-02,,,,,,,,,,,,,
 Винт для прессов мод. КД2126,,,,,,,,,,,,,
 Центр вращающийся Морзе 6, усиленный для токарных станков и промышленного оборудования,,,,,,,,,,,,
 ШВП поперечное и продольное карусельных станков 1512 и 1516 (80х10мм),,,,,,,,,,,,,
 Пружины станков глубокого сверления РТ601,,,,,,,,,,,,,
 Рым-болты для крепления и транспортировки изделий М42х4,5.0мм,,,,,,,,,,,,
 Кронштейны муфты для прессов,,,,,,,,,,,,,
 Муфта обгонная для токарно-винторезных станков 16Р25П,16.0Р25,,,,,,,,,,,,
 Запасные части для револьверной головки подшипник шестерня гайка 1П756ДФ3.40.000,,,,,,,,,,,,,
 ШВП продольное специальных трубных станков РТ983ф3 и СА983Ф3 (63х10мм),,,,,,,,,,,,,
 Диск тормозной револьверной головки 1П756ДФ3.40.000,,,,,,,,,,,,,
 Шпиндельные гайки для токарный станков 1М63,1.0М63Н,ДИП300,16.0000000,,,,,,,,,,
 Внутришлифовальные головки с классом точности П,В,А по Гост 25-1,,,,,,,,,,,
 ШВП для разрывной машины (50х10мм),,,,,,,,,,,,,
 Резцедержатель в сборе для специальных трубных станков мод. 1Н983,1.0А983,1.0М983,РТ983,СА983,,,,,,,,,
 Насос шестеренчатый смазки коробки для фрезерных станков FU 400-450,,,,,,,,,,,,,
 Муфта-втулка для специальных трубных станков мод. 1Н983,1.0А983,1.0М983,РТ983,СА983,,,,,,,,,
 ШВП для специальных станков с ЧПУ мод. 1740Ф3,,,,,,,,,,,,,
 Шестерня коробки фрезерных станков 6Т12,6.0Т13,,,,,,,,,,,,
 Винт с гайкой задней бабки специальных токарных станков с ЧПУ мод. РТ755Ф3,,,,,,,,,,,,,
 Токарно-винторезные станки и промышленное оборудование: обеспечение бесперебойной работы и запасными частями,,,,,,,,,,,,,
 Описание токарно-винторезных станков модели 16К20,,,,,,,,,,,,,
 Применение шарико-винтовых пар в токарных станках с ЧПУ серии 1П756ДФ3,,,,,,,,,,,,,
 Производство запасных частей для трубообрабатывающих станков серий 1Н983,1.0А983,1.0М983, СА983, РТ983,,,,,,,,,
 Производство центров и переходных втулок шпиндельной бабки токарно-винторезных станков модели 1М65,1.0Н65, ДИП500,,,,,,,,,,,
 Штурвал задней бабки токарно-винторезных станков 16К20,16.0000000,,,,,,,,,,,,
 Кронштейн насоса токарно-винторезных станков 1М63,1.0М63Н,ДИП300,,,,,,,,,,,
 Шестерни насоса токарно-винторезных станков 1М63,1.0М63Н,ДИП300,,,,,,,,,,,
 Запасные части для резцедержателей 1М65,1.0Н65,ДИП500,РТ117,РТ817,,,,,,,,,
 Ролики в сборе с вилками для люнетов 1М63,1.0М63Н,1.0М65, дип300,дип500,,,,,,,,,
 Муфта обгонная 1Н65.60.900СБ,,,,,,,,,,,,,
 Тяжелый токарный станок РТ317 (РТ317Ф3),,,,,,,,,,,,,
 Шкив главного двигателя 1М63.21.053 ( Для станков 1М63,1.0М63Н,163,ДИП300,16.0000000),,,,,,,,,
 Ножи гранулятора,,,,,,,,,,,,,
 Муфта и винт задней бабки токарно-винторезных станков 1М65,ДИП500,,,,,,,,,,,,
 Клинья суппорта и каретки для токарно-винторезных станков мод. 16К20
