 Насос АКС станка 16К40
 Контактное/изоляционное кольцо на муфту У41.84 и щеткодержатели для электромагнитных муфт
 Износостойкие ролики для поверхностного упрочнения металлических изделий
 Конструкция и назначение люнета неподвижного токарно-винторезных станков модели 16К40
 Верхний суппорт в сборе токарно-винторезных станков 1М63,1.0М63Н,ДИП300
 Обработка мостика задней бабки станка 1М63Н на расточном станке,,,,,,,,,,,
 Захваты инструмента фрезерных станков 6Т13,ГФ2171,6.0Т82,6.0Р82,6.0Р82Ш,6Р12 и т.д.,,,,,,
 Водило УГ9311.0207.000 для револьверной головки УГ9326,,,,,,,,,,,
 Колесо зубчатое УГ9311.0200.057для револьверной головки УГ9326,,,,,,,,,,,
 Узел полумуфты в комплекте: (УГ9321.04000.000-02; УГ9326.0400-000) револьверной головки УГ9326,,,,,,,,,,,
 Лимб (в сборе: нониус, штурвал, кольцо, ось) токарно-винторезного станка мод. 16К20,,,,,,,,
 Вал шпиндельной бабки 1М63Н.20.182 для станков 1М63,1.0М63Н,163,ДИП300,1М63БФ101, 16К40 и т.д.,,,,,,
 Запасные части для станков (Муфта электромагнитная Э144-2А в сборе с поводком-коронкой),,,,,,,,,,,
 Маточная гайка для станков 1Н983.60.110 для станков 1Н983,1.0А983,1.0М983, РТ983.,,,,,,,,
 Вал первой оси (в сборе) шпиндельная бабка-коробка скоростей станков 1М65 1Н65 ДИП500 165,,,,,,,,,,,
 Шестерни 1К62.02.107 (z-47/55/38) и 1К62.02.118 (z-34/39) для токарно-винторезных станков мод. 1К62,,,,,,,,,,,
 Блок шестерен, шестерня и шлицевой вал фрезерного станка мод. FU400,,,,,,,,,,
 Резцедержатель (в сборе) для токарно-винторезных станков мод. 1М63,1.0М63Н,163,ДИП300,16.0000000,,,,,,,
 Рейка 1К62.11.32 L-291мм. и 1К62.11.33 L-705мм. токарно-винторезного станка мод. 1К62,,,,,,,,,,,
 Комплект секторов с пружинами резцедержателей токарно-винторезного станка модели 16К20,,,,,,,,,,,
 Поддержка винта вала токарно-винторезных станков 1М63,1.0М63Н,Дип300,16.0000000,,,,,,,,
 Шестерни станков 1Н983,1.0А983,1.0М983,РТ983,СА983,,,,,,,
 Вал фрикционный для фрезерных станков мод. 6Н12,6.0Р12,6.0Р13,6.0Р82Ш, 6Р83 и т.д.,,,,,,,
 Станки токарно-винторезные мод. ГС526У,,,,,,,,,,,
 Подшипник револьверной головки 1П756ДФ3.40.000,,,,,,,,,,,
 Изготовление пружин различных типов и конфигурации (пружины сжатия),,,,,,,,,,,
 Захват инструмента 6Т13МФ4-1.37.271 для фрезерных станков,,,,,,,,,,,
